"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","32980","TC-AUTH — Teacher logs in and is redirected to the recommendations page","chromium","2026-08-12","passed","2026-08-12","AUTH — Role-Based Redirects","","",""
"","35124","TC-GRP — Admin updates a single student to the group's current revision","chromium","2026-08-12","passed","2026-08-12","GRP — Groups","","",""
"","80881","TC-STUL — Counselor views active students in Student List","chromium","2026-08-12","passed","2026-08-12","STUL — Student List","","",""
"","62129","TC-AUTH — Password reset via phone number","chromium","2026-08-12","passed","2026-08-12","AUTH — Password Reset","","",""
"","36180","TC-STUL — Click student name link to navigate to student profile","chromium","2026-08-12","passed","2026-08-12","STUL — Student List","","",""
"","34739","TC-GRDP — Guardian views their assigned surveys list","chromium","2026-08-12","passed","2026-08-12","GRDP — Guardian Surveys","","",""
"","28632","TC-GRDP — A user without the guardian-profile permission is denied access to the guardian profile edit page","chromium","2026-08-12","passed","2026-08-12","GRDP — Guardian Profile","","",""
"","51712","TC-AUTH — Counselor logs in and logs out","chromium","2026-08-12","passed","2026-08-12","AUTH — Login and Logout","","",""
"","47064","TC-GRDP — Counselor adds a new guardian contact to a student","chromium","2026-08-12","passed","2026-08-12","GRDP — Student Contacts","","",""
"","25598","TC-BKM — Student views Bookmarks page with Longlist, Shortlist, and Applying list columns","chromium","2026-08-12","passed","2026-08-12","BKM — Bookmarks board","","",""
"","41889","TC-APPL — Application actions kebab menu on a Common App application shows exactly its seven documented actions","chromium","2026-08-12","passed","2026-08-12","APPL — Application Tracker","","",""
"","36675","TC-GRDP — Guardian opens their profile edit page and sees current details","chromium","2026-08-12","passed","2026-08-12","GRDP — Guardian Profile","","",""
"","31217","TC-BKM — Left-nav Bookmarks and Applications links navigate to the correct pages","chromium","2026-08-12","passed","2026-08-12","BKM — Bookmarks board","","",""
"","52687","TC-AUTH — Authenticated user can log out","chromium","2026-08-12","passed","2026-08-12","AUTH — Login and Logout","","",""
"","23849","TC-GRDP — Guardian submits a survey with all questions answered","chromium","2026-08-12","passed","2026-08-12","GRDP — Guardian Surveys","","",""
"","34388","TC-APPL — Application actions kebab menu on a UCAS application shows exactly its three documented actions","chromium","2026-08-12","passed","2026-08-12","APPL — Application Tracker","","",""
"","35127","TC-APPL — Application actions kebab menu on an Other-portal application shows exactly its six documented actions","chromium","2026-08-12","passed","2026-08-12","APPL — Application Tracker","","",""
"","31583","TC-BKM — Go to applications link in the Bookmarks Applying list column navigates to Application Tracker","chromium","2026-08-12","passed","2026-08-12","BKM — Bookmarks board","","",""
"","23479","TC-BKM — Bookmarks page-level empty state shown when the student has no bookmarks and no filter","chromium","2026-08-12","passed","2026-08-12","BKM — Bookmarks board","","",""
"","19563","TC-GRP — Admin loads a group's Overview tab with its details and revision history","chromium","2026-08-12","passed","2026-08-12","GRP — Groups","","",""
"","29376","TC-GRDP — Guardian saves changes to their profile","chromium","2026-08-12","passed","2026-08-12","GRDP — Guardian Profile","","",""
"","36933","TC-BKM — Student adds a university to the Longlist via the +Add button","chromium","2026-08-12","passed","2026-08-12","BKM — Bookmarks board","","",""
"","27412","TC-AUTH — Password reset form rejects invalid input","chromium","2026-08-12","passed","2026-08-12","AUTH — Password Reset","","",""
"","52866","TC-STUL — Student List module-level loading states: skeleton on first load, inline bar on reload","chromium","2026-08-12","passed","2026-08-12","STUL — Student List","","",""
"","21784","TC-GRDP — Guardian with no linked students is logged out on sign-in","chromium","2026-08-12","passed","2026-08-12","GRDP — Linked Students","","",""
"","62447","TC-GRDP — Guardian with linked students lands on the first linked student's home","chromium","2026-08-12","passed","2026-08-12","GRDP — Linked Students","","",""
"","36881","TC-BKM — Student adds a university to the Shortlist via the +Add button","chromium","2026-08-12","passed","2026-08-12","BKM — Bookmarks board","","",""
"","94827","TC-ONBRD — Student in grade 10 or below completes the pre-quiz only","chromium","2026-08-12","passed","2026-08-12","ONBRD — Onboarding Quiz","","",""
"","40773","TC-BKM — Counselor views Bookmarks page for an assigned student","chromium","2026-08-12","passed","2026-08-12","BKM — Bookmarks board","","",""
"","35631","TC-STUL — Open and close the Student Info card via the info icon","chromium","2026-08-12","passed","2026-08-12","STUL — Student List","","",""
"","29576","TC-APPL — Student views Application Tracker page with In Progress and Submitted sections","chromium","2026-08-12","passed","2026-08-12","APPL — Application Tracker","","",""
"","40188","TC-BKM — Guardian with full access views Bookmarks page for a linked student","chromium","2026-08-12","passed","2026-08-12","BKM — Bookmarks board","","",""
"","43484","TC-APPL — Student adds a university to the Applying list via + Add application","chromium","2026-08-12","passed","2026-08-12","APPL — Application Tracker","","",""
"","31917","TC-APPL — Delete application via the kebab menu — Common App applications show a confirmation dialog; others delete immediately","chromium","2026-08-12","passed","2026-08-12","APPL — Application Tracker","","",""
"","17069","TC-GRP — Admin creates a group with only the required Group Name","chromium","2026-08-12","passed","2026-08-12","GRP — Groups","","",""
"","47321","TC-AUTH — Guardian logs in and is redirected to linked student's home","chromium","2026-08-12","passed","2026-08-12","AUTH — Role-Based Redirects","","",""
"","60435","TC-STUL — Denied-role access: Student and Guardian cannot reach Student List","chromium","2026-08-12","passed","2026-08-12","STUL — Student List","","",""
"","41040","TC-BKM — Teacher is denied access to Bookmarks and Application Tracker pages","chromium","2026-08-12","passed","2026-08-12","BKM — Bookmarks board","","",""
"","24149","TC-GRP — Admin deactivates and cancels deactivation of a group","chromium","2026-08-12","passed","2026-08-12","GRP — Groups","","",""
"","23502","TC-GRP — Admin loads the Groups list on a School tenant and opens a group","chromium","2026-08-12","passed","2026-08-12","GRP — Groups","","",""
"","48371","TC-APPL — Counselor views Application Tracker for an assigned student","chromium","2026-08-12","passed","2026-08-12","APPL — Application Tracker","","",""
"","7199","TC-AUTH — Expired or invalid reset code redirects to sign-in","chromium","2026-08-12","passed","2026-08-12","AUTH — Password Reset","","",""
"","27666","TC-BKM — Student moves a university from Shortlist to the Applying list via the card kebab menu","chromium","2026-08-12","passed","2026-08-12","BKM — Bookmarks board","","",""
"","47727","TC-GRDP — Counselor opens a student's profile and the Contacts list loads with existing guardian contacts","chromium","2026-08-12","passed","2026-08-12","GRDP — Student Contacts","","",""
"","65301","TC-GRP — Admin loads a group's Students tab and sees its membership","chromium","2026-08-12","passed","2026-08-12","GRP — Groups","","",""
"","26995","TC-ONBRD — Quiz result page reveals the student's readiness level","chromium","2026-08-12","passed","2026-08-12","ONBRD — Onboarding Quiz","","",""
"","25504","TC-APPL — Other portals in-progress rows render with correct header and count","chromium","2026-08-12","passed","2026-08-12","APPL — Application Tracker","","",""
"","21719","TC-GRP — Admin edits group details, creating a new revision","chromium","2026-08-12","passed","2026-08-12","GRP — Groups","","",""
"","159064","TC-ONBRD — Student in grade 11 or above completes the full onboarding quiz","chromium","2026-08-12","passed","2026-08-12","ONBRD — Onboarding Quiz","","",""
"","9005","TC-AUTH — Login form rejects invalid credentials and empty fields","chromium","2026-08-12","passed","2026-08-12","AUTH — Login and Logout","","",""
